Quarter,QuarterQF,HB,HBQF,Location,LocationQF,AdmissionType,AdmissionTypeQF,Sex,Age,Episodes,LengthOfEpisode,AverageLengthOfEpisode,AverageLengthOfEpisodeQF,Stays,LengthOfStay,AverageLengthOfStay,AverageLengthOfStayQF,HBName,Year,Quarter_single
2022Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,70-79 years,2274,6334,2.785400176,NA,2277,9050,3.974527888,NA,NA,2022,Q2
2022Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,70-79 years,2501,7228,2.890043982,NA,2549,10968,4.302863868,NA,NA,2022,Q3
2022Q4,p,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,70-79 years,2487,6851,2.754724568,NA,2521,10697,4.243157477,NA,NA,2022,Q4
2017Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,80-89 years,1432,5683,3.968575419,NA,1441,8647,6.000693963,NA,NA,2017,Q4
2018Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,80-89 years,1301,4334,3.331283628,NA,1297,7235,5.578257517,NA,NA,2018,Q1
2018Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,80-89 years,1427,5826,4.08269096,NA,1422,7829,5.505625879,NA,NA,2018,Q2
2018Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,80-89 years,1339,4553,3.40029873,NA,1370,6422,4.687591241,NA,NA,2018,Q3
2018Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,80-89 years,1415,4806,3.396466431,NA,1418,6847,4.828631876,NA,NA,2018,Q4
2019Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,80-89 years,1300,4190,3.223076923,NA,1312,6169,4.701981707,NA,NA,2019,Q1
2019Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,80-89 years,1369,4861,3.550766983,NA,1380,6923,5.016666667,NA,NA,2019,Q2
2019Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,80-89 years,1392,5006,3.596264368,NA,1395,7178,5.145519713,NA,NA,2019,Q3
2019Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,80-89 years,1394,4692,3.365853659,NA,1422,6715,4.722222222,NA,NA,2019,Q4
2020Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,80-89 years,1222,4510,3.690671031,NA,1223,6512,5.324611611,NA,NA,2020,Q1
2020Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,80-89 years,426,1931,4.53286385,NA,421,2859,6.790973872,NA,NA,2020,Q2
2020Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,80-89 years,797,3271,4.104140527,NA,805,4511,5.603726708,NA,NA,2020,Q3
2020Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,80-89 years,922,3283,3.560737527,NA,947,4681,4.942977825,NA,NA,2020,Q4
2021Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,80-89 years,739,2507,3.392422192,NA,733,3854,5.257844475,NA,NA,2021,Q1
2021Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,80-89 years,1066,3897,3.655722326,NA,1080,6436,5.959259259,NA,NA,2021,Q2
2021Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,80-89 years,926,3049,3.292656587,NA,934,4339,4.645610278,NA,NA,2021,Q3
2021Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,80-89 years,889,3249,3.654668166,NA,922,4574,4.960954447,NA,NA,2021,Q4
2022Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,80-89 years,829,2491,3.00482509,NA,833,3908,4.691476591,NA,NA,2022,Q1
2022Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,80-89 years,978,3245,3.31799591,NA,995,4613,4.636180905,NA,NA,2022,Q2
2022Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,80-89 years,1035,3388,3.273429952,NA,1042,5361,5.144913628,NA,NA,2022,Q3
2022Q4,p,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,80-89 years,1029,3814,3.706511176,NA,1051,6339,6.031398668,NA,NA,2022,Q4
2017Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,90 years and over,129,462,3.581395349,NA,128,645,5.0390625,NA,NA,2017,Q4
2018Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,90 years and over,126,484,3.841269841,NA,121,546,4.512396694,NA,NA,2018,Q1
2018Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,90 years and over,131,505,3.854961832,NA,129,966,7.488372093,NA,NA,2018,Q2
2018Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,90 years and over,119,364,3.058823529,NA,120,854,7.116666667,NA,NA,2018,Q3
2018Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,90 years and over,132,663,5.022727273,NA,133,984,7.398496241,NA,NA,2018,Q4
2019Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,90 years and over,142,692,4.873239437,NA,134,708,5.28358209,NA,NA,2019,Q1
2019Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,90 years and over,139,415,2.985611511,NA,139,1013,7.287769784,NA,NA,2019,Q2
2019Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,90 years and over,162,616,3.802469136,NA,165,1015,6.151515152,NA,NA,2019,Q3
2019Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,90 years and over,132,495,3.75,NA,134,738,5.507462687,NA,NA,2019,Q4
2020Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,90 years and over,114,505,4.429824561,NA,112,780,6.964285714,NA,NA,2020,Q1
2020Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,90 years and over,59,286,4.847457627,NA,57,466,8.175438596,NA,NA,2020,Q2
2020Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,90 years and over,83,413,4.975903614,NA,80,627,7.8375,NA,NA,2020,Q3
2020Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,90 years and over,105,570,5.428571429,NA,109,900,8.256880734,NA,NA,2020,Q4
2021Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,90 years and over,65,236,3.630769231,NA,67,398,5.940298507,NA,NA,2021,Q1
2021Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,90 years and over,107,325,3.037383178,NA,102,347,3.401960784,NA,NA,2021,Q2
2021Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,90 years and over,99,595,6.01010101,NA,101,776,7.683168317,NA,NA,2021,Q3
2021Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,90 years and over,96,436,4.541666667,NA,95,530,5.578947368,NA,NA,2021,Q4
2022Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,90 years and over,86,354,4.11627907,NA,89,571,6.415730337,NA,NA,2022,Q1
2022Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,90 years and over,117,478,4.085470085,NA,115,506,4.4,NA,NA,2022,Q2
2022Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,90 years and over,103,488,4.737864078,NA,97,698,7.195876289,NA,NA,2022,Q3
2022Q4,p,S92000003,d,S92000003,d,Elective Inpatients,NA,Female,90 years and over,92,373,4.054347826,NA,95,641,6.747368421,NA,NA,2022,Q4
2017Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,0-9 years,867,1682,1.940023068,NA,881,2093,2.375709421,NA,NA,2017,Q4
2018Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,0-9 years,964,1703,1.76659751,NA,977,2070,2.118730809,NA,NA,2018,Q1
2018Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,0-9 years,963,1770,1.838006231,NA,962,2194,2.280665281,NA,NA,2018,Q2
2018Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,0-9 years,902,1883,2.087583149,NA,918,2349,2.558823529,NA,NA,2018,Q3
2018Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,0-9 years,739,1490,2.01623816,NA,744,1842,2.475806452,NA,NA,2018,Q4
2019Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,0-9 years,839,1693,2.017878427,NA,835,2456,2.941317365,NA,NA,2019,Q1
2019Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,0-9 years,845,1576,1.865088757,NA,852,2083,2.444835681,NA,NA,2019,Q2
2019Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,0-9 years,830,1447,1.743373494,NA,847,1890,2.231404959,NA,NA,2019,Q3
2019Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,0-9 years,781,1089,1.394366197,NA,795,1582,1.989937107,NA,NA,2019,Q4
2020Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,0-9 years,767,956,1.246414602,NA,777,1116,1.436293436,NA,NA,2020,Q1
2020Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,0-9 years,285,721,2.529824561,NA,283,1002,3.540636042,NA,NA,2020,Q2
2020Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,0-9 years,484,928,1.917355372,NA,483,1177,2.436853002,NA,NA,2020,Q3
2020Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,0-9 years,633,914,1.443917852,NA,637,1153,1.810047096,NA,NA,2020,Q4
2021Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,0-9 years,584,907,1.553082192,NA,589,1400,2.376910017,NA,NA,2021,Q1
2021Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,0-9 years,582,942,1.618556701,NA,589,1149,1.950764007,NA,NA,2021,Q2
2021Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,0-9 years,519,801,1.543352601,NA,527,1031,1.956356736,NA,NA,2021,Q3
2021Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,0-9 years,416,863,2.074519231,NA,419,1059,2.527446301,NA,NA,2021,Q4
2022Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,0-9 years,545,812,1.489908257,NA,550,1358,2.469090909,NA,NA,2022,Q1
2022Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,0-9 years,482,993,2.060165975,NA,491,1258,2.562118126,NA,NA,2022,Q2
2022Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,0-9 years,579,1170,2.020725389,NA,589,1310,2.224108659,NA,NA,2022,Q3
2022Q4,p,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,0-9 years,551,719,1.304900181,NA,574,1101,1.918118467,NA,NA,2022,Q4
2017Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,10-19 years,735,1588,2.160544218,NA,740,1883,2.544594595,NA,NA,2017,Q4
2018Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,10-19 years,693,1359,1.961038961,NA,697,2001,2.870875179,NA,NA,2018,Q1
2018Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,10-19 years,698,1484,2.126074499,NA,707,1565,2.213578501,NA,NA,2018,Q2
2018Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,10-19 years,634,1364,2.151419558,NA,634,1792,2.826498423,NA,NA,2018,Q3
2018Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,10-19 years,617,1376,2.230145867,NA,628,1887,3.00477707,NA,NA,2018,Q4
2019Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,10-19 years,576,1244,2.159722222,NA,569,1280,2.249560633,NA,NA,2019,Q1
2019Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,10-19 years,601,1439,2.394342762,NA,598,1730,2.892976589,NA,NA,2019,Q2
2019Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,10-19 years,594,1142,1.922558923,NA,605,1696,2.803305785,NA,NA,2019,Q3
2019Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,10-19 years,607,1297,2.136738056,NA,615,1761,2.863414634,NA,NA,2019,Q4
2020Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,10-19 years,660,1498,2.26969697,NA,667,1737,2.604197901,NA,NA,2020,Q1
2020Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,10-19 years,208,394,1.894230769,NA,207,591,2.855072464,NA,NA,2020,Q2
2020Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,10-19 years,386,805,2.085492228,NA,389,1280,3.290488432,NA,NA,2020,Q3
2020Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,10-19 years,494,924,1.870445344,NA,494,1122,2.271255061,NA,NA,2020,Q4
2021Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,10-19 years,399,786,1.969924812,NA,403,1003,2.488833747,NA,NA,2021,Q1
2021Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,10-19 years,472,839,1.777542373,NA,474,1101,2.32278481,NA,NA,2021,Q2
2021Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,10-19 years,417,737,1.767386091,NA,427,1156,2.707259953,NA,NA,2021,Q3
2021Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,10-19 years,489,959,1.961145194,NA,491,1052,2.142566191,NA,NA,2021,Q4
2022Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,10-19 years,480,726,1.5125,NA,482,960,1.991701245,NA,NA,2022,Q1
2022Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,10-19 years,425,649,1.527058824,NA,425,834,1.962352941,NA,NA,2022,Q2
2022Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,10-19 years,488,920,1.885245902,NA,498,1717,3.447791165,NA,NA,2022,Q3
2022Q4,p,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,10-19 years,462,732,1.584415584,NA,465,1052,2.262365591,NA,NA,2022,Q4
2017Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,20-29 years,742,1248,1.681940701,NA,754,1572,2.084880637,NA,NA,2017,Q4
2018Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,20-29 years,712,1269,1.782303371,NA,713,1662,2.330995792,NA,NA,2018,Q1
2018Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,20-29 years,750,1585,2.113333333,NA,751,1905,2.536617843,NA,NA,2018,Q2
2018Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,20-29 years,704,1199,1.703125,NA,701,1593,2.272467903,NA,NA,2018,Q3
2018Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,20-29 years,667,1111,1.665667166,NA,676,1644,2.431952663,NA,NA,2018,Q4
2019Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,20-29 years,631,1092,1.730586371,NA,637,1460,2.291993721,NA,NA,2019,Q1
2019Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,20-29 years,655,1092,1.667175573,NA,673,1525,2.265973254,NA,NA,2019,Q2
2019Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,20-29 years,717,1207,1.683403068,NA,732,1537,2.099726776,NA,NA,2019,Q3
2019Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,20-29 years,643,1104,1.716951788,NA,658,1472,2.237082067,NA,NA,2019,Q4
2020Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,20-29 years,545,992,1.820183486,NA,554,1173,2.11732852,NA,NA,2020,Q1
2020Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,20-29 years,214,501,2.341121495,NA,215,590,2.744186047,NA,NA,2020,Q2
2020Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,20-29 years,379,730,1.926121372,NA,381,956,2.509186352,NA,NA,2020,Q3
2020Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,20-29 years,441,787,1.784580499,NA,447,1126,2.51901566,NA,NA,2020,Q4
2021Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,20-29 years,318,555,1.745283019,NA,318,677,2.128930818,NA,NA,2021,Q1
2021Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,20-29 years,460,804,1.747826087,NA,462,1092,2.363636364,NA,NA,2021,Q2
2021Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,20-29 years,379,1170,3.08707124,NA,384,1373,3.575520833,NA,NA,2021,Q3
2021Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,20-29 years,364,686,1.884615385,NA,368,1008,2.739130435,NA,NA,2021,Q4
2022Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,20-29 years,369,718,1.945799458,NA,376,974,2.590425532,NA,NA,2022,Q1
2022Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,20-29 years,370,804,2.172972973,NA,370,1073,2.9,NA,NA,2022,Q2
2022Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,20-29 years,395,811,2.053164557,NA,400,1047,2.6175,NA,NA,2022,Q3
2022Q4,p,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,20-29 years,383,681,1.778067885,NA,389,833,2.141388175,NA,NA,2022,Q4
2017Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,30-39 years,992,1843,1.857862903,NA,1008,2445,2.425595238,NA,NA,2017,Q4
2018Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,30-39 years,941,1596,1.696068013,NA,935,2087,2.232085561,NA,NA,2018,Q1
2018Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,30-39 years,957,2050,2.142110763,NA,973,2567,2.638232271,NA,NA,2018,Q2
2018Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,30-39 years,895,1659,1.853631285,NA,907,2067,2.278941566,NA,NA,2018,Q3
2018Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,30-39 years,889,1772,1.993250844,NA,900,2255,2.505555556,NA,NA,2018,Q4
2019Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,30-39 years,971,1908,1.964984552,NA,975,2581,2.647179487,NA,NA,2019,Q1
2019Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,30-39 years,914,1855,2.029540481,NA,922,2368,2.568329718,NA,NA,2019,Q2
2019Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,30-39 years,813,1480,1.820418204,NA,825,2024,2.453333333,NA,NA,2019,Q3
2019Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,30-39 years,832,1369,1.645432692,NA,855,2250,2.631578947,NA,NA,2019,Q4
2020Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,30-39 years,740,1372,1.854054054,NA,744,2078,2.793010753,NA,NA,2020,Q1
2020Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,30-39 years,250,505,2.02,NA,259,788,3.042471042,NA,NA,2020,Q2
2020Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,30-39 years,472,1236,2.618644068,NA,470,1689,3.593617021,NA,NA,2020,Q3
2020Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,30-39 years,574,1106,1.926829268,NA,583,1590,2.727272727,NA,NA,2020,Q4
2021Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,30-39 years,447,983,2.199105145,NA,446,1389,3.114349776,NA,NA,2021,Q1
2021Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,30-39 years,595,1074,1.805042017,NA,611,1473,2.410801964,NA,NA,2021,Q2
2021Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,30-39 years,513,1070,2.085769981,NA,524,1614,3.080152672,NA,NA,2021,Q3
2021Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,30-39 years,454,897,1.975770925,NA,459,1485,3.235294118,NA,NA,2021,Q4
2022Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,30-39 years,486,944,1.942386831,NA,489,1477,3.020449898,NA,NA,2022,Q1
2022Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,30-39 years,522,970,1.858237548,NA,526,1450,2.756653992,NA,NA,2022,Q2
2022Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,30-39 years,580,1033,1.781034483,NA,588,1515,2.576530612,NA,NA,2022,Q3
2022Q4,p,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,30-39 years,591,1262,2.13536379,NA,603,1755,2.910447761,NA,NA,2022,Q4
2017Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,40-49 years,1464,3423,2.338114754,NA,1478,4742,3.208389716,NA,NA,2017,Q4
2018Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,40-49 years,1315,3411,2.59391635,NA,1305,4918,3.768582375,NA,NA,2018,Q1
2018Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,40-49 years,1320,2991,2.265909091,NA,1321,4373,3.310370931,NA,NA,2018,Q2
2018Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,40-49 years,1282,2590,2.020280811,NA,1296,3879,2.993055556,NA,NA,2018,Q3
2018Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,40-49 years,1327,3228,2.432554635,NA,1347,4379,3.250927988,NA,NA,2018,Q4
2019Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,40-49 years,1271,2831,2.227380016,NA,1279,3756,2.936669273,NA,NA,2019,Q1
2019Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,40-49 years,1266,2724,2.151658768,NA,1278,3730,2.918622848,NA,NA,2019,Q2
2019Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,40-49 years,1162,2421,2.083476764,NA,1186,3621,3.05311973,NA,NA,2019,Q3
2019Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,40-49 years,1213,2641,2.177246496,NA,1233,3875,3.142741281,NA,NA,2019,Q4
2020Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,40-49 years,1096,2359,2.152372263,NA,1123,3298,2.936776492,NA,NA,2020,Q1
2020Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,40-49 years,413,1235,2.99031477,NA,411,1555,3.783454988,NA,NA,2020,Q2
2020Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,40-49 years,678,1485,2.190265487,NA,680,2212,3.252941176,NA,NA,2020,Q3
2020Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,40-49 years,860,1940,2.255813953,NA,864,2615,3.02662037,NA,NA,2020,Q4
2021Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,40-49 years,704,1551,2.203125,NA,702,2479,3.531339031,NA,NA,2021,Q1
2021Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,40-49 years,918,2118,2.307189542,NA,930,2855,3.069892473,NA,NA,2021,Q2
2021Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,40-49 years,843,1900,2.253855279,NA,851,2471,2.903642773,NA,NA,2021,Q3
2021Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,40-49 years,715,2040,2.853146853,NA,734,3008,4.098092643,NA,NA,2021,Q4
2022Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,40-49 years,768,1775,2.311197917,NA,770,2507,3.255844156,NA,NA,2022,Q1
2022Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,40-49 years,743,1689,2.273216689,NA,758,3235,4.267810026,NA,NA,2022,Q2
2022Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,40-49 years,883,1860,2.106455266,NA,892,2997,3.359865471,NA,NA,2022,Q3
2022Q4,p,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,40-49 years,830,1827,2.201204819,NA,845,2613,3.092307692,NA,NA,2022,Q4
2017Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,50-59 years,2875,8011,2.786434783,NA,2907,11786,4.054351565,NA,NA,2017,Q4
2018Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,50-59 years,2761,6348,2.299166968,NA,2752,10042,3.648982558,NA,NA,2018,Q1
2018Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,50-59 years,2891,6748,2.334140436,NA,2898,11117,3.836093858,NA,NA,2018,Q2
2018Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,50-59 years,2687,5984,2.22701898,NA,2703,8498,3.143914169,NA,NA,2018,Q3
2018Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,50-59 years,2688,6745,2.509300595,NA,2730,9959,3.647985348,NA,NA,2018,Q4
2019Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,50-59 years,2728,6901,2.529692082,NA,2770,10229,3.692779783,NA,NA,2019,Q1
2019Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,50-59 years,2753,6386,2.31965129,NA,2766,9574,3.46131598,NA,NA,2019,Q2
2019Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,50-59 years,2642,6310,2.388342165,NA,2669,9385,3.516298239,NA,NA,2019,Q3
2019Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,50-59 years,2686,6141,2.28629933,NA,2737,9114,3.329923274,NA,NA,2019,Q4
2020Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,50-59 years,2421,5496,2.270136307,NA,2470,8722,3.531174089,NA,NA,2020,Q1
2020Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,50-59 years,995,2349,2.36080402,NA,1000,3782,3.782,NA,NA,2020,Q2
2020Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,50-59 years,1641,3847,2.344302255,NA,1662,5796,3.487364621,NA,NA,2020,Q3
2020Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,50-59 years,1807,4511,2.496402878,NA,1844,7025,3.809652928,NA,NA,2020,Q4
2021Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,50-59 years,1580,4060,2.569620253,NA,1576,5597,3.551395939,NA,NA,2021,Q1
2021Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,50-59 years,2044,5105,2.497553816,NA,2065,7218,3.495399516,NA,NA,2021,Q2
2021Q3,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,50-59 years,1780,4725,2.654494382,NA,1808,6678,3.693584071,NA,NA,2021,Q3
2021Q4,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,50-59 years,1708,4181,2.447892272,NA,1734,6413,3.698385236,NA,NA,2021,Q4
2022Q1,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,50-59 years,1646,4363,2.650668287,NA,1644,7076,4.304136253,NA,NA,2022,Q1
2022Q2,NA,S92000003,d,S92000003,d,Elective Inpatients,NA,Male,50-59 years,1770,4477,2.529378531,NA,1784,6865,3.84809417,NA,NA,2022,Q2
